User_ID,Tweet_ID,Texto,Ubicación,Enlace del Tweet Original
1475395346,1776826774866784658,"Las elecciones más sangrientas, el culpable es López y su cartel d la mafia. La mentira traición quiere provocar miedo, es una 💩 . Asesino mató a su hermano 183,000 muertes hasta ahorita 800,000 muertes con COVID-19, no había 💉 traidor a la patria. Síganme los sigo al 💯% https://t.co/3NEFSixqMr","Texas, USA X SEGURIDAD SOY🇲🇽",https://twitter.com/1475395346/status/1776826774866784658
,,,,https://twitter.com/nan/status/nan
,,,,https://twitter.com/nan/status/nan
316273207,1770095881645371798,"Cuando venga la siguiente pandemia, que va a venir, nadie lo dude, será por un patógeno que acabará infectándonos a casi todos, como ha pasado con la influenza y la covid-19.
Las medidas de distanciamiento social, como quedarse en casa, son exclusivamente temporales para que no…","Leon, Mexico",https://twitter.com/316273207/status/1770095881645371798
1884163777,1767848475419353231,"¿Le va a afectar este nuevo escándalo a Isabel Díaz Ayuso?

*

Isabel Díaz Ayuso ha dicho:

-que la Covid-19 se llamaba así porque es ‘coronavirus, diciembre, 19’;

-que Madrid es España dentro de España;

-que había que aprender a convivir con el virus;

-que los migrantes del… https://t.co/UiTKshTCvq",,https://twitter.com/1884163777/status/1767848475419353231
1446873163216863235,1767660544348017103,"#Denuncia 🚨 se filtra un audio de un trabajador del cementerio de Moa Holguin  un Familiar que busca los restos de du abuela y tío quiere saber donde fueron enterrados.
En la pandemia del COVID 19  fueron enterrados muchos cuerpos,en en fosas y bolsas de plástico!! Sin una… https://t.co/KxNppeX3ZI", 🇪🇸🇨🇺,https://twitter.com/1446873163216863235/status/1767660544348017103
152142811,1770144547600769435,Autoridades de Brasil acusan al expresidente Bolsonaro de falsificar sus datos de vacunación contra el COVID-19 con el fin de viajar a Estados Unidos. https://t.co/fZ0PzTvFFX,United States,https://twitter.com/152142811/status/1770144547600769435
121883741,1770143475054383614,"La ruptura Política entre Javier Milei y Victoria Villarruel es INMINENTE !!!

Ah no para.. !! 
Están bien... 

#Pergolini #MaximilianoPullaro #Viale #DivisiónPalermo #PlayadelCarmen #PlayadelCarmen #Rebord #COVID-19 #Mondino #AgriculturaFamiliar #Novaresio https://t.co/3XY4VHiTvb",,https://twitter.com/121883741/status/1770143475054383614
242160541,1770119961333178416,"¿QUIENES ESTÁN ENTRE LOS INVOLUCRADOS DEL COVID-19?? 

DARPA.... por ejemplo. 

2017. (P3) PLATAFORMA DE PREPARACION DE PANDEMIAS

Ya se sabía y hay mucha más documentación sobre la tecnología ARNm de DARPA (2012) y las PATENTES existentes dsd 2005.

https://t.co/tVBmDPgN9B https://t.co/zKEB74GCPc",Tierra,https://twitter.com/242160541/status/1770119961333178416
465089702,1767699933644063057,".@GA_Jaramillo, el mismo que cuestionó las vacunas ARNm contra el COVID 19, reconoce que tomó ivermectina durante la pandemia.

El gobierno es alérgico a las matemáticas, la ciencia y la evidencia. https://t.co/oNffQlpOM6",,https://twitter.com/465089702/status/1767699933644063057
2173132789,1767946754706604086,lo de la distancia de seguridad de 2 metros me meo.. y yo que pensaba que la pandemia del covid 19 había pasado ya https://t.co/pEmJKcoyoo,she stays happy alone,https://twitter.com/2173132789/status/1767946754706604086
1206266465487392768,1767639926902833414,"🇺🇸Funcionario adjunto de Fauci le advirtió contra los mandatos de vacunación, muestra email de entonces.
Obligar a vacunarse contra el COVID-19 FUE UN ERROR, debido a problemas éticos y de otro tipo.
https://t.co/nLvMmrjgCq","Buenos Aires, Argentina",https://twitter.com/1206266465487392768/status/1767639926902833414
913790123237666816,1769055567362859397,"Sociología y Covid-19🔬
¿Qué temas investigó la sociología en relación a la pandemia?👩‍💻En este estudio analizamos 2 200 artículos científicos escritos entre 2020 y 2022
🧵","Madrid, Comunidad de Madrid",https://twitter.com/913790123237666816/status/1769055567362859397
,,,,https://twitter.com/nan/status/nan
,,,,https://twitter.com/nan/status/nan
1531738261277880324,1766843103850176706,"🇺🇸 | ¿Por qué los Rothschild son propietarios de la patente de 2015 para las pruebas de COVID-19?

Si bien se sigue demostrando que los llamados “teóricos de la conspiración” tienen razón sobre el COVID-19, una conspiración destaca: el hecho de que un miembro de la familia… https://t.co/f8BVljjMoi","Valencia, España",https://twitter.com/1531738261277880324/status/1766843103850176706
